
infection probability 30
infected duration min:14 max: 14
recovered safely probability 50
_______________________________________________________
Total,Susceptible,Infected,Recovered,Dead
200,198,2,0,0
200,198,2,0,0
200,197,3,0,0
200,197,3,0,0
200,196,4,0,0
200,196,4,0,0
200,196,4,0,0
200,196,4,0,0
200,195,5,0,0
200,195,5,0,0
200,194,6,0,0
200,194,6,0,0
200,194,6,0,0
200,194,6,0,0
200,194,6,0,0
200,194,6,0,0
200,193,7,0,0
200,192,8,0,0
200,192,8,0,0
200,192,8,0,0
200,192,8,0,0
200,192,8,0,0
200,192,8,0,0
200,192,8,0,0
200,192,8,0,0
200,191,9,0,0
200,191,9,0,0
200,190,10,0,0
200,190,10,0,0
200,190,10,0,0
200,189,11,0,0
200,189,11,0,0
200,188,12,0,0
200,188,12,0,0
200,188,12,0,0
200,188,11,0,1
200,188,11,0,1
200,188,11,0,1
200,187,12,0,1
200,186,13,0,1
200,185,14,0,1
200,185,13,1,1
200,185,13,1,1
200,185,13,1,1
200,185,13,1,1
200,184,14,1,1
200,183,15,1,1
200,182,16,1,1
200,182,16,1,1
200,182,16,1,1
200,182,16,1,1
200,181,17,1,1
200,180,18,1,1
200,178,20,1,1
200,178,20,1,1
200,177,21,1,1
200,175,22,2,1
200,172,25,2,1
200,172,25,2,1
200,172,25,2,1
200,171,26,2,1
200,171,26,2,1
200,168,28,3,1
200,165,31,3,1
200,164,32,3,1
200,162,34,3,1
200,162,34,3,1
200,161,35,3,1
200,160,36,3,1
200,159,37,3,1
200,158,38,3,1
200,158,38,3,1
200,157,39,3,1
200,156,40,3,1
200,156,40,3,1
200,156,40,3,1
200,156,39,4,1
200,155,40,4,1
200,155,39,5,1
200,155,38,6,1
200,155,37,6,2
200,155,37,6,2
200,155,37,6,2
200,153,38,6,3
200,153,37,6,4
200,152,38,6,4
200,151,37,7,5
200,150,37,8,5
200,149,38,8,5
200,149,38,8,5
200,147,40,8,5
200,146,40,9,5
200,145,41,9,5
200,144,42,9,5
200,143,43,9,5
200,141,45,9,5
200,139,47,9,5
200,137,49,9,5
200,134,51,9,6
200,132,53,9,6
200,131,53,10,6
200,130,54,10,6
200,129,54,10,7
200,128,55,10,7
200,125,57,10,8
200,124,55,11,10
200,123,55,12,10
200,123,55,12,10
200,123,55,12,10
200,122,56,12,10
200,122,55,12,11
200,121,55,12,12
200,119,56,12,13
200,116,55,12,17
200,116,55,12,17
200,115,55,12,18
200,114,55,12,19
200,114,55,12,19
200,112,55,13,20
200,112,55,13,20
200,111,56,13,20
200,108,57,14,21
200,108,57,14,21
200,108,57,14,21
200,108,57,14,21
200,108,55,15,22
200,108,54,16,22
200,108,54,16,22
200,108,52,17,23
200,107,50,19,24
200,107,48,20,25
200,107,48,20,25
200,107,44,24,25
200,107,42,26,25
200,107,40,27,26
200,106,41,27,26
200,106,39,27,28
200,106,38,27,29
200,105,37,27,31
200,105,36,28,31
200,105,35,29,31
200,105,34,29,32
200,105,33,29,33
200,105,32,29,34
200,105,32,29,34
200,104,33,29,34
200,102,34,30,34
200,101,34,31,34
200,101,34,31,34
200,99,35,31,35
200,97,34,33,36
200,96,35,33,36
200,96,33,35,36
200,96,33,35,36
200,96,33,35,36
200,96,33,35,36
200,96,33,35,36
200,96,33,35,36
200,96,32,35,37
200,96,31,35,38
200,96,30,36,38
200,96,29,36,39
200,96,28,37,39
200,96,28,37,39
200,96,26,38,40
200,96,25,38,41
200,96,25,38,41
200,96,25,38,41
200,95,25,39,41
200,93,27,39,41
200,93,26,40,41
200,92,27,40,41
200,92,27,40,41
200,92,25,41,42
200,92,25,41,42
200,92,24,41,43
200,91,23,41,45
200,91,19,42,48
200,91,18,43,48
200,91,16,44,49
200,91,15,45,49
200,91,15,45,49
200,90,15,46,49
200,90,15,46,49
200,90,15,46,49
200,89,15,46,50
200,89,15,46,50
200,88,15,47,50
200,87,16,47,50
200,87,16,47,50
200,87,16,47,50
200,87,16,47,50
200,87,16,47,50
200,86,16,48,50
200,86,15,49,50
200,86,15,49,50
200,86,14,49,51
200,85,15,49,51
200,85,15,49,51
200,85,15,49,51
200,84,16,49,51
200,82,18,49,51
200,82,18,49,51
200,82,18,49,51
200,82,18,49,51
200,81,19,49,51
200,81,19,49,51
200,80,20,49,51
200,79,21,49,51
200,79,21,49,51
200,78,22,49,51
200,76,24,49,51
200,76,24,49,51
200,76,24,49,51
200,73,27,49,51
200,71,28,49,52
200,71,27,49,53
200,70,28,49,53
200,68,29,50,53
200,67,29,51,53
200,66,29,51,54
200,66,29,51,54
200,66,28,51,55
200,65,28,52,55
200,65,27,52,56
200,65,26,53,56
200,65,26,53,56
200,65,25,53,57
200,64,25,54,57
200,64,25,54,57
200,64,25,54,57
200,64,24,55,57
200,64,24,55,57
200,63,25,55,57
200,63,25,55,57
200,63,25,55,57
200,62,26,55,57
200,61,26,55,58
200,61,25,55,59
200,61,25,55,59
200,60,25,56,59
200,60,24,56,60
200,60,24,56,60
200,60,24,56,60
200,60,24,56,60
200,60,24,56,60
200,60,23,57,60
200,60,23,57,60
200,60,23,57,60
200,60,22,58,60
200,60,22,58,60
200,60,22,58,60
200,60,21,58,61
200,60,21,58,61
200,60,21,58,61
200,60,21,58,61
200,59,22,58,61
200,58,22,59,61
200,58,22,59,61
200,58,22,59,61
200,58,20,61,61
200,58,20,61,61
200,58,20,61,61
200,58,20,61,61
200,58,19,62,61
200,58,19,62,61
200,58,19,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,20,62,61
200,57,18,63,62
200,57,17,64,62
200,57,17,64,62
200,57,16,64,63
200,57,15,65,63
200,57,14,66,63
200,57,14,66,63
200,57,12,66,65
200,57,12,66,65
200,57,12,66,65
200,57,11,66,66
200,57,10,67,66
200,57,8,67,68
200,57,8,67,68
200,57,8,67,68
200,57,8,67,68
200,57,7,68,68
200,57,7,68,68
200,57,7,68,68
200,57,6,68,69
200,57,6,68,69
200,57,6,68,69
200,57,5,69,69
200,57,4,70,69
200,57,4,70,69
200,57,4,70,69
200,57,4,70,69
200,57,4,70,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,3,71,69
200,57,2,71,70
200,57,2,71,70
200,57,2,71,70
200,57,2,71,70
200,57,2,71,70
200,57,2,71,70
200,57,1,71,71
200,57,1,71,71
200,57,1,71,71
200,57,1,71,71
200,57,1,71,71
200,57,1,71,71
200,57,1,71,71
200,57,1,71,71
