Susceptible,Infected,Recover,Dead,Iter,Zone
148,1,0,0,1,0
149,2,0,0,1,1
149,1,0,0,1,2
148,2,0,0,1,3
145,1,0,0,2,0
148,2,0,0,2,1
152,1,0,0,2,2
148,3,0,0,2,3
144,2,0,0,3,0
148,2,0,0,3,1
151,1,0,0,3,2
148,4,0,0,3,3
143,2,0,0,4,0
147,2,0,0,4,1
149,1,0,0,4,2
151,5,0,0,4,3
143,2,0,0,5,0
146,2,0,0,5,1
149,1,0,0,5,2
152,5,0,0,5,3
144,2,0,0,6,0
146,3,0,0,6,1
146,1,0,0,6,2
153,5,0,0,6,3
143,3,0,0,7,0
144,4,0,0,7,1
146,1,0,0,7,2
153,6,0,0,7,3
141,3,0,0,8,0
147,4,0,0,8,1
145,1,0,0,8,2
153,6,0,0,8,3
138,3,0,0,9,0
145,5,0,0,9,1
147,1,0,0,9,2
155,6,0,0,9,3
133,8,0,0,10,0
145,5,0,0,10,1
144,1,0,0,10,2
159,5,0,0,10,3
130,12,0,0,11,0
146,5,0,0,11,1
143,1,0,0,11,2
157,6,0,0,11,3
127,14,0,0,12,0
146,5,0,0,12,1
143,1,0,0,12,2
157,7,0,0,12,3
121,18,0,0,13,0
147,6,0,0,13,1
141,1,0,0,13,2
154,12,0,0,13,3
113,25,0,0,14,0
149,6,0,0,14,1
139,2,0,0,14,2
145,21,0,0,14,3
111,25,1,0,15,0
150,6,0,0,15,1
132,9,0,0,15,2
136,30,0,0,15,3
106,32,1,0,16,0
147,7,0,0,16,1
130,11,0,0,16,2
125,41,0,0,16,3
104,33,1,0,17,0
146,7,0,0,17,1
123,17,0,0,17,2
119,50,0,0,17,3
100,37,1,0,18,0
146,7,0,0,18,1
119,22,0,0,18,2
110,58,0,0,18,3
93,46,1,0,19,0
146,6,0,0,19,1
118,22,0,0,19,2
103,65,0,0,19,3
89,50,2,0,20,0
146,6,0,0,20,1
116,24,0,0,20,2
100,67,0,0,20,3
84,55,2,0,21,0
143,11,0,0,21,1
109,29,0,0,21,2
93,74,0,0,21,3
82,55,2,0,22,0
139,13,0,0,22,1
104,36,0,0,22,2
89,80,0,0,22,3
80,59,2,0,23,0
129,21,0,0,23,1
102,38,0,0,23,2
90,79,0,0,23,3
76,65,2,0,24,0
122,26,1,0,24,1
101,40,0,0,24,2
86,81,0,0,24,3
73,70,2,0,25,0
117,30,1,0,25,1
99,42,0,0,25,2
84,82,0,0,25,3
69,74,2,0,26,0
109,38,1,0,26,1
92,48,0,0,26,2
80,86,0,1,26,3
68,73,2,2,27,0
104,42,1,0,27,1
89,54,0,0,27,2
79,85,0,1,27,3
65,75,2,2,28,0
102,43,1,0,28,1
88,55,1,0,28,2
75,89,1,1,28,3
62,76,3,2,29,0
98,47,1,1,29,1
83,59,1,0,29,2
75,89,2,1,29,3
62,80,2,2,30,0
89,53,2,1,30,1
77,64,1,0,30,2
73,90,2,2,30,3
58,82,3,2,31,0
81,58,2,2,31,1
79,66,1,0,31,2
69,91,2,4,31,3
56,84,2,3,32,0
79,59,3,2,32,1
75,67,3,1,32,2
66,94,2,4,32,3
53,85,3,3,33,0
77,62,3,2,33,1
71,71,3,1,33,2
65,92,3,6,33,3
50,85,4,4,34,0
75,64,3,1,34,1
67,73,4,2,34,2
60,99,3,6,34,3
50,82,5,4,35,0
68,75,3,1,35,1
63,74,4,2,35,2
59,97,5,8,35,3
47,86,5,3,36,0
66,76,4,2,36,1
60,76,5,2,36,2
58,96,5,9,36,3
45,91,6,3,37,0
67,75,3,2,37,1
